text,label,source,service,error_signature,severity,normalized_label
no space left on device,disk_full,jenkins,disk-job,disk full,high,disk_full
disk is full cannot write,disk_full,jenkins,disk-job,disk full,high,disk_full
filesystem full error,disk_full,jenkins,disk-job,disk full,high,disk_full
insufficient disk space on agent,disk_full,jenkins,disk-job,disk full,high,disk_full
volume capacity exceeded,disk_full,jenkins,disk-job,disk full,high,disk_full
unable to create file disk full,disk_full,jenkins,disk-job,disk full,high,disk_full
not enough storage space,disk_full,jenkins,disk-job,disk full,high,disk_full
write failed no space left,disk_full,jenkins,disk-job,disk full,high,disk_full
cannot connect to docker daemon,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker daemon not running,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
failed to connect to docker.sock,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
dial unix var run docker.sock connect no such file,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker service is inactive,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker engine unavailable,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
failed to start docker service,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
error during connect docker daemon is not running,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
cannot connect to docker engine pipe,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
open //./pipe/docker_engine failed,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker desktop not started,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
docker engine pipe not available,docker_daemon_down,jenkins,docker-job,daemon down,high,docker_daemon_down
permission denied publickey,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
ssh authentication failed,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
git over ssh access denied,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
publickey authentication failure,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
ssh key rejected by server,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
unable to authenticate via ssh,ssh_auth_failed,jenkins,git-ssh-job,auth failed,high,ssh_auth_failed
fatal authentication failed for repository,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
invalid username or password git,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
repository access denied,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
could not read from remote repository,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
git clone authentication failed,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
git credentials rejected,git_auth_failed,jenkins,git-job,auth failed,high,git_auth_failed
http 500 internal server error,http_500,jenkins,api-job,server error,high,http_500
500 server error response,http_500,jenkins,api-job,server error,high,http_500
api returned status code 500,http_500,jenkins,api-job,server error,high,http_500
backend service returned 500,http_500,jenkins,api-job,server error,high,http_500
unexpected 500 error from service,http_500,jenkins,api-job,server error,high,http_500
internal server error occurred,http_500,jenkins,api-job,server error,high,http_500
mvn command not found,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
maven not installed,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
mvn is not recognized,mvn_missing,jenkins,mvn-job,command missing,high,mvn_missing
